"Source","Target"
"DC0672","DC0739"
"DC0673","DC2490"
"DC0674","DC1069"
"DC0674","DC1362"
"DC0676","DC1205"
"DC0677","DC1292"
"DC0677","DC1627"
"DC0678","DC2053"
"DC0679","DC1917"
"DC0680","DC1516"
"DC0681","DC0874"
"DC0681","DC1548"
"DC0682","DC1117"
"DC0684","DC1031"
"DC0685","DC1212"
"DC0687","DC0818"
"DC0688","DC1939"
"DC0689","DC1158"
"DC0690","DC1120"
"DC0690","DC1660"
"DC0691","DC1488"
"DC0691","DC2298"
"DC0692","DC2449"
"DC0693","DC1477"
"DC0693","DC1697"
"DC0694","DC0829"
"DC0695","DC1591"
"DC0695","DC2383"
"DC0695","DC1358"
"DC0696","DC2374"
"DC0698","DC1756"
"DC0698","DC1409"
"DC0699","DC0943"
"DC0699","DC1258"
"DC0700","DC1578"
"DC0700","DC2307"
"DC0701","DC0730"
"DC0701","DC1182"
"DC0701","DC1585"
"DC0703","DC1601"
"DC0704","DC2351"
"DC0704","DC2475"
"DC0705","DC0783"
"DC0705","DC0985"
"DC0706","DC1001"
"DC0706","DC2265"
"DC0708","DC2501"
"DC0709","DC1842"
"DC0709","DC1963"
"DC0710","DC0814"
"DC0710","DC1369"
"DC0712","DC1239"
"DC0712","DC1616"
"DC0712","DC2036"
"DC0713","DC1110"
"DC0714","DC0724"
"DC0714","DC1495"
"DC0715","DC0913"
"DC0715","DC1166"
"DC0715","DC1780"
"DC0716","DC1038"
"DC0716","DC1612"
"DC0717","DC1151"
"DC0718","DC1052"
"DC0719","DC0802"
"DC0719","DC1527"
"DC0719","DC1795"
"DC0720","DC0807"
"DC0720","DC1653"
"DC0721","DC1864"
"DC0721","DC2256"
"DC0722","DC2467"
"DC0722","DC1984"
"DC0723","DC0847"
"DC0724","DC2118"
"DC0726","DC1231"
"DC0726","DC0308"
"DC0728","DC2117"
"DC0729","DC2072"
"DC0731","DC1521"
"DC0731","DC1580"
"DC0732","DC1492"
"DC0732","DC2385"
"DC0733","DC1454"
"DC0733","DC1587"
"DC0733","DC2187"
"DC0734","DC0834"
"DC0735","DC0751"
"DC0735","DC1018"
"DC0735","DC1522"
"DC0736","DC1376"
"DC0736","DC1757"
"DC0737","DC1079"
"DC0738","DC0964"
"DC0738","DC1460"
"DC0739","DC2121"
"DC0740","DC0814"
"DC0740","DC1656"
"DC0740","DC2291"
"DC0742","DC1870"
"DC0742","DC2120"
"DC0743","DC1027"
"DC0743","DC1818"
"DC0743","DC2501"
"DC0744","DC1794"
"DC0744","DC1991"
"DC0745","DC2494"
"DC0746","DC0969"
"DC0746","DC2508"
"DC0748","DC1624"
"DC0748","DC1915"
"DC0749","DC1364"
"DC0750","DC1793"
"DC0750","DC1950"
"DC0751","DC1094"
"DC0751","DC1375"
"DC0753","DC2161"
"DC0753","DC1892"
"DC0754","DC2511"
"DC0755","DC1214"
"DC0756","DC0771"
"DC0757","DC0851"
"DC0757","DC1418"
"DC0757","DC2242"
"DC0758","DC1685"
"DC0758","DC1847"
"DC0758","DC2079"
"DC0759","DC1831"
"DC0760","DC0867"
"DC0760","DC2297"
"DC0761","DC0879"
"DC0761","DC1026"
"DC0761","DC2016"
"DC0762","DC2165"
"DC0763","DC1178"
"DC0763","DC2499"
"DC0763","DC1976"
"DC0764","DC0912"
"DC0764","DC1929"
"DC0765","DC1451"
"DC0766","DC1544"
"DC0767","DC0862"
"DC0767","DC2340"
"DC0768","DC0942"
"DC0768","DC1683"
"DC0768","DC1941"
"DC0768","DC2457"
"DC0769","DC1745"
"DC0769","DC2081"
"DC0769","DC0415"
"DC0770","DC0952"
"DC0772","DC2455"
"DC0773","DC1321"
"DC0774","DC1878"
"DC0775","DC0776"
"DC0775","DC1533"
"DC0775","DC2065"
"DC0776","DC1906"
"DC0777","DC1416"
"DC0777","DC1721"
"DC0778","DC0825"
"DC0778","DC0940"
"DC0778","DC1626"
"DC0779","DC1168"
"DC0779","DC1466"
"DC0780","DC1671"
"DC0780","DC1804"
"DC0781","DC1335"
"DC0781","DC1431"
"DC0781","DC1794"
"DC0784","DC1575"
"DC0785","DC1841"
"DC0786","DC2280"
"DC0788","DC2224"
"DC0789","DC0858"
"DC0789","DC0952"
"DC0789","DC1380"
"DC0789","DC2298"
"DC0790","DC1014"
"DC0790","DC1636"
"DC0791","DC2046"
"DC0792","DC1497"
"DC0793","DC2320"
"DC0796","DC1365"
"DC0797","DC1856"
"DC0797","DC2247"
"DC0798","DC2484"
"DC0799","DC2358"
"DC0800","DC1178"
"DC0803","DC1376"
"DC0804","DC1674"
"DC0805","DC1066"
"DC0807","DC1010"
"DC0808","DC1600"
"DC0808","DC1724"
"DC0809","DC1274"
"DC0809","DC2439"
"DC0811","DC1945"
"DC0811","DC2288"
"DC0812","DC0976"
"DC0812","DC1260"
"DC0815","DC1849"
"DC0816","DC1223"
"DC0817","DC1802"
"DC0818","DC1666"
"DC0820","DC1982"
"DC0820","DC2232"
"DC0822","DC2458"
"DC0822","DC2143"
"DC0823","DC0908"
"DC0823","DC1015"
"DC0824","DC2069"
"DC0825","DC1554"
"DC0826","DC1448"
"DC0827","DC1007"
"DC0828","DC2448"
"DC0829","DC1329"
"DC0829","DC2019"
"DC0831","DC1233"
"DC0831","DC2384"
"DC0832","DC1542"
"DC0833","DC1140"
"DC0835","DC1764"
"DC0836","DC1742"
"DC0836","DC1860"
"DC0837","DC1774"
"DC0838","DC1078"
"DC0838","DC1965"
"DC0840","DC0872"
"DC0840","DC1040"
"DC0841","DC1095"
"DC0841","DC0161"
"DC0841","DC1474"
"DC0842","DC2233"
"DC0845","DC1270"
"DC0845","DC1374"
"DC0845","DC2473"
"DC0846","DC1725"
"DC0847","DC1321"
"DC0848","DC2314"
"DC0848","DC2064"
"DC0849","DC0976"
"DC0849","DC1246"
"DC0850","DC1751"
"DC0851","DC1635"
"DC0852","DC2503"
"DC0853","DC1055"
"DC0853","DC1660"
"DC0853","DC2411"
"DC0853","DC1884"
"DC0854","DC1059"
"DC0854","DC1212"
"DC0854","DC1350"
"DC0855","DC1227"
"DC0856","DC1177"
"DC0857","DC1577"
"DC0858","DC2014"
"DC0858","DC2008"
"DC0859","DC1222"
"DC0859","DC1278"
"DC0860","DC1551"
"DC0860","DC0326"
"DC0861","DC1584"
"DC0861","DC1877"
"DC0861","DC1355"
"DC0863","DC1228"
"DC0864","DC1597"
"DC0865","DC2123"
"DC0866","DC1987"
"DC0867","DC0910"
"DC0867","DC1948"
"DC0869","DC2367"
"DC0869","DC2489"
"DC0870","DC1060"
"DC0870","DC2137"
"DC0871","DC2440"
"DC0871","DC1954"
"DC0875","DC1194"
"DC0876","DC1319"
"DC0877","DC1386"
"DC0878","DC1512"
"DC0878","DC2188"
"DC0879","DC0997"
"DC0880","DC1384"
"DC0881","DC1669"
"DC0882","DC1112"
"DC0882","DC2441"
"DC0884","DC1080"
"DC0884","DC1464"
"DC0885","DC2442"
"DC0887","DC0931"
"DC0887","DC1730"
"DC0887","DC1816"
"DC0888","DC1061"
"DC0888","DC2240"
"DC0889","DC0907"
"DC0890","DC1570"
"DC0890","DC2071"
"DC0891","DC1717"
"DC0891","DC2222"
"DC0892","DC1439"
"DC0892","DC1969"
"DC0893","DC1040"
"DC0893","DC1586"
"DC0893","DC1759"
"DC0894","DC1133"
"DC0894","DC1555"
"DC0895","DC1090"
"DC0895","DC1153"
"DC0896","DC1518"
"DC0896","DC1564"
"DC0897","DC1117"
"DC0898","DC1681"
"DC0900","DC1146"
"DC0900","DC1149"
"DC0900","DC1812"
"DC0901","DC2121"
"DC0902","DC1700"
"DC0902","DC2490"
"DC0903","DC1692"
"DC0904","DC1000"
"DC0904","DC1046"
"DC0905","DC0907"
"DC0905","DC2329"
"DC0906","DC1643"
"DC0906","DC2225"
"DC0909","DC1146"
"DC0909","DC1528"
"DC0909","DC1556"
"DC0909","DC2283"
"DC0909","DC2045"
"DC0910","DC0929"
"DC0910","DC1247"
"DC0910","DC2434"
"DC0913","DC1769"
"DC0913","DC2038"
"DC0914","DC2151"
"DC0915","DC2033"
"DC0916","DC2158"
"DC0917","DC2482"
"DC0918","DC2483"
"DC0919","DC1047"
"DC0919","DC1507"
"DC0920","DC1654"
"DC0920","DC2225"
"DC0921","DC2338"
"DC0922","DC1694"
"DC0923","DC1505"
"DC0923","DC1632"
"DC0924","DC0988"
"DC0925","DC0553"
"DC0926","DC2292"
"DC0927","DC1038"
"DC0928","DC1408"
"DC0928","DC2025"
"DC0929","DC2235"
"DC0930","DC1041"
"DC0930","DC1749"
"DC0930","DC1814"
"DC0931","DC2115"
"DC0932","DC1824"
"DC0934","DC2100"
"DC0935","DC1717"
"DC0935","DC2109"
"DC0936","DC1503"
"DC0937","DC1546"
"DC0938","DC1301"
"DC0940","DC2243"
"DC0942","DC2318"
"DC0942","DC1893"
"DC0943","DC1620"
"DC0943","DC0528"
"DC0944","DC1666"
"DC0945","DC1070"
"DC0945","DC2287"
"DC0946","DC1074"
"DC0946","DC1925"
"DC0947","DC1186"
"DC0948","DC1256"
"DC0948","DC1648"
"DC0949","DC2229"
"DC0949","DC2139"
"DC0951","DC1206"
"DC0951","DC2355"
"DC0953","DC1463"
"DC0953","DC2054"
"DC0954","DC1149"
"DC0954","DC1713"
"DC0954","DC1740"
"DC0954","DC1883"
"DC0955","DC0974"
"DC0955","DC1068"
"DC0956","DC1156"
"DC0957","DC1887"
"DC0959","DC2250"
"DC0960","DC1423"
"DC0961","DC1497"
"DC0961","DC1978"
"DC0962","DC2380"
"DC0963","DC1202"
"DC0964","DC1631"
"DC0965","DC1208"
"DC0966","DC1790"
"DC0967","DC1815"
"DC0967","DC2498"
"DC0970","DC2061"
"DC0970","DC1627"
"DC0971","DC1243"
"DC0972","DC2308"
"DC0972","DC1839"
"DC0972","DC2259"
"DC0975","DC1099"
"DC0975","DC1806"
"DC0976","DC2017"
"DC0976","DC1657"
"DC0978","DC1013"
"DC0978","DC1378"
"DC0978","DC2191"
"DC0980","DC1130"
"DC0981","DC1021"
"DC0982","DC2327"
"DC0982","DC2428"
"DC0984","DC1662"
"DC0984","DC2379"
"DC0985","DC2387"
"DC0986","DC1073"
"DC0986","DC2246"
"DC0987","DC2178"
"DC0989","DC1061"
"DC0989","DC1622"
"DC0990","DC2480"
"DC0991","DC1465"
"DC0992","DC2007"
"DC0992","DC2508"
"DC0993","DC2170"
"DC0994","DC2078"
"DC0995","DC2391"
"DC0996","DC1903"
"DC0997","DC2486"
"DC0998","DC2104"
"DC0999","DC1494"
"DC0999","DC1618"
"DC1000","DC1424"
"DC1001","DC1423"
"DC1001","DC2012"
"DC1002","DC2236"
"DC1003","DC1018"
"DC1004","DC1250"
"DC1004","DC2087"
"DC1006","DC1156"
"DC1006","DC1217"
"DC1007","DC2291"
"DC1008","DC1136"
"DC1009","DC1682"
"DC1010","DC2272"
"DC1011","DC1567"
"DC1012","DC1881"
"DC1013","DC2189"
"DC1014","DC1077"
"DC1016","DC1081"
"DC1016","DC1277"
"DC1017","DC1146"
"DC1017","DC0528"
"DC1018","DC1720"
"DC1019","DC1119"
"DC1019","DC2371"
"DC1020","DC1812"
"DC1020","DC2074"
"DC1020","DC1637"
"DC1022","DC1835"
"DC1022","DC2072"
"DC1023","DC1900"
"DC1024","DC2462"
"DC1025","DC2103"
"DC1026","DC2052"
"DC1028","DC2167"
"DC1029","DC2000"
"DC1030","DC1603"
"DC1030","DC2248"
"DC1031","DC1290"
"DC1031","DC1486"
"DC1032","DC1790"
"DC1033","DC1854"
"DC1033","DC2071"
"DC1034","DC1390"
"DC1035","DC0235"
"DC1037","DC1348"
"DC1037","DC1672"
"DC1039","DC2042"
"DC1042","DC1430"
"DC1042","DC2317"
"DC1043","DC1673"
"DC1044","DC1927"
"DC1045","DC1917"
"DC1046","DC1373"
"DC1047","DC1546"
"DC1048","DC1691"
"DC1048","DC2491"
"DC1049","DC1103"
"DC1049","DC1818"
"DC1049","DC2013"
"DC1050","DC1190"
"DC1050","DC2260"
"DC1051","DC2250"
"DC1053","DC2499"
"DC1054","DC1677"
"DC1055","DC1994"
"DC1056","DC1150"
"DC1056","DC2418"
"DC1057","DC1160"
"DC1058","DC1629"
"DC1058","DC1895"
"DC1059","DC1242"
"DC1060","DC1462"
"DC1061","DC2084"
"DC1063","DC1275"
"DC1063","DC1679"
"DC1063","DC1848"
"DC1063","DC0235"
"DC1064","DC2426"
"DC1065","DC1649"
"DC1066","DC1697"
"DC1066","DC2430"
"DC1067","DC2223"
"DC1067","DC2125"
"DC1067","DC2124"
"DC1068","DC2038"
"DC1070","DC1179"
"DC1072","DC2253"
"DC1074","DC1491"
"DC1075","DC2130"
"DC1077","DC1418"
"DC1078","DC1728"
"DC1078","DC1770"
"DC1079","DC2449"
"DC1080","DC1333"
"DC1080","DC2237"
"DC1082","DC1819"
"DC1083","DC2138"
"DC1083","DC2448"
"DC1084","DC2261"
"DC1086","DC1819"
"DC1087","DC1122"
"DC1089","DC1159"
"DC1089","DC1449"
"DC1090","DC1966"
"DC1092","DC1305"
"DC1093","DC0325"
"DC1094","DC1604"
"DC1094","DC2045"
"DC1095","DC0843"
"DC1095","DC0941"
"DC1096","DC1536"
"DC1096","DC2083"
"DC1097","DC2452"
"DC1098","DC2211"
"DC1101","DC1902"
"DC1102","DC1723"
"DC1106","DC1842"
"DC1106","DC2279"
"DC1107","DC1228"
"DC1108","DC1357"
"DC1108","DC1461"
"DC1108","DC1533"
"DC1109","DC2277"
"DC1110","DC1203"
"DC1113","DC2333"
"DC1114","DC2488"
"DC1115","DC2414"
"DC1116","DC2404"
"DC1118","DC1782"
"DC1119","DC1300"
"DC1119","DC1538"
"DC1120","DC1612"
"DC1120","DC1665"
"DC1121","DC2035"
"DC1122","DC2506"
"DC1123","DC1836"
"DC1123","DC1655"
"DC1126","DC2002"
"DC1126","DC2452"
"DC1127","DC1832"
"DC1127","DC0282"
"DC1128","DC2176"
"DC1130","DC2482"
"DC1131","DC1201"
"DC1131","DC2226"
"DC1131","DC2384"
"DC1132","DC1149"
"DC1132","DC2284"
"DC1133","DC2313"
"DC1135","DC1487"
"DC1136","DC1736"
"DC1137","DC1730"
"DC1137","DC2255"
"DC1138","DC1236"
"DC1138","DC0235"
"DC1139","DC1431"
"DC1139","DC2097"
"DC1140","DC1359"
"DC1140","DC1670"
"DC1141","DC1228"
"DC1141","DC1258"
"DC1142","DC1646"
"DC1142","DC2421"
"DC1142","DC1881"
"DC1144","DC1330"
"DC1144","DC2365"
"DC1145","DC1279"
"DC1147","DC1576"
"DC1147","DC1657"
"DC1148","DC1484"
"DC1148","DC1634"
"DC1149","DC2419"
"DC1150","DC2504"
"DC1151","DC1447"
"DC1151","DC2312"
"DC1152","DC1215"
"DC1152","DC2068"
"DC1153","DC1983"
"DC1153","DC2378"
"DC1154","DC1763"
"DC1155","DC2217"
"DC1156","DC2228"
"DC1156","DC2170"
"DC1157","DC1213"
"DC1157","DC1724"
"DC1158","DC2403"
"DC1158","DC2052"
"DC1159","DC1939"
"DC1162","DC1917"
"DC1162","DC2430"
"DC1163","DC1556"
"DC1165","DC1581"
"DC1165","DC1925"
"DC1167","DC1528"
"DC1167","DC2376"
"DC1169","DC1655"
"DC1170","DC1699"
"DC1170","DC2247"
"DC1171","DC1924"
"DC1171","DC1896"
"DC1173","DC1193"
"DC1173","DC1414"
"DC1174","DC1707"
"DC1174","DC2390"
"DC1175","DC2190"
"DC1176","DC1227"
"DC1176","DC1669"
"DC1177","DC0282"
"DC1179","DC1825"
"DC1180","DC1868"
"DC1181","DC1569"
"DC1182","DC2439"
"DC1183","DC1858"
"DC1185","DC2109"
"DC1187","DC1877"
"DC1187","DC2466"
"DC1188","DC1607"
"DC1188","DC1871"
"DC1189","DC1370"
"DC1191","DC2382"
"DC1192","DC1244"
"DC1193","DC2495"
"DC1194","DC2057"
"DC1195","DC2091"
"DC1195","DC2350"
"DC1196","DC1537"
"DC1197","DC2417"
"DC1198","DC1360"
"DC1199","DC1458"
"DC1199","DC2310"
"DC1200","DC1284"
"DC1200","DC1575"
"DC1201","DC1522"
"DC1202","DC2213"
"DC1203","DC2037"
"DC1204","DC1284"
"DC1207","DC1531"
"DC1207","DC2072"
"DC1208","DC1407"
"DC1208","DC1801"
"DC1209","DC1748"
"DC1209","DC1887"
"DC1210","DC2024"
"DC1211","DC1969"
"DC1213","DC2287"
"DC1215","DC2389"
"DC1216","DC1842"
"DC1219","DC1918"
"DC1219","DC2374"
"DC1220","DC1227"
"DC1221","DC2316"
"DC1221","DC2250"
"DC1221","DC2264"
"DC1222","DC1795"
"DC1222","DC1901"
"DC1223","DC1778"
"DC1225","DC2148"
"DC1226","DC1484"
"DC1229","DC1286"
"DC1229","DC2353"
"DC1230","DC1347"
"DC1231","DC2228"
"DC1231","DC1627"
"DC1233","DC2492"
"DC1235","DC1553"
"DC1235","DC2511"
"DC1236","DC1689"
"DC1237","DC1994"
"DC1237","DC2485"
"DC1237","DC2173"
"DC1238","DC1248"
"DC1239","DC1847"
"DC1240","DC1510"
"DC1241","DC1753"
"DC1241","DC2423"
"DC1241","DC2390"
"DC1242","DC2058"
"DC1243","DC1408"
"DC1246","DC2218"
"DC1248","DC1604"
"DC1251","DC2483"
"DC1253","DC1367"
"DC1253","DC1605"
"DC1254","DC1489"
"DC1255","DC1336"
"DC1255","DC1756"
"DC1256","DC2289"
"DC1259","DC1645"
"DC1260","DC1393"
"DC1261","DC1529"
"DC1261","DC1543"
"DC1262","DC2069"
"DC1263","DC1712"
"DC1264","DC1273"
"DC1265","DC2033"
"DC1266","DC1268"
"DC1266","DC1396"
"DC1267","DC1588"
"DC1267","DC1676"
"DC1269","DC1525"
"DC1270","DC2478"
"DC1271","DC1813"
"DC1272","DC2442"
"DC1273","DC1307"
"DC1274","DC1848"
"DC1275","DC1499"
"DC1276","DC1923"
"DC1277","DC1904"
"DC1278","DC2502"
"DC1280","DC1489"
"DC1280","DC2429"
"DC1282","DC2015"
"DC1283","DC1770"
"DC1285","DC1428"
"DC1285","DC1465"
"DC1287","DC1540"
"DC1287","DC1341"
"DC1289","DC2357"
"DC1291","DC2025"
"DC1293","DC1317"
"DC1294","DC1346"
"DC1295","DC1317"
"DC1295","DC2380"
"DC1297","DC1405"
"DC1298","DC2335"
"DC1298","DC1705"
"DC1299","DC2497"
"DC1301","DC1920"
"DC1302","DC2122"
"DC1303","DC1564"
"DC1304","DC1829"
"DC1305","DC1891"
"DC1306","DC0324"
"DC1307","DC1312"
"DC1308","DC2431"
"DC1308","DC2183"
"DC1309","DC2031"
"DC1310","DC1631"
"DC1311","DC1481"
"DC1311","DC2158"
"DC1313","DC1979"
"DC1314","DC1399"
"DC1314","DC2213"
"DC1315","DC1729"
"DC1318","DC1320"
"DC1319","DC2301"
"DC1323","DC2479"
"DC1324","DC2495"
"DC1324","DC1972"
"DC1326","DC1509"
"DC1326","DC2147"
"DC1328","DC2179"
"DC1329","DC2059"
"DC1330","DC1638"
"DC1331","DC1517"
"DC1331","DC2023"
"DC1332","DC1854"
"DC1332","DC2006"
"DC1333","DC1638"
"DC1333","DC2172"
"DC1336","DC0161"
"DC1337","DC2074"
"DC1337","DC2437"
"DC1337","DC1625"
"DC1338","DC2416"
"DC1338","DC2029"
"DC1339","DC1398"
"DC1340","DC1560"
"DC1344","DC2116"
"DC1345","DC2484"
"DC1347","DC1438"
"DC1348","DC0235"
"DC1349","DC1731"
"DC1350","DC2135"
"DC1353","DC2273"
"DC1353","DC1938"
"DC1354","DC2362"
"DC1361","DC2460"
"DC1364","DC1722"
"DC1364","DC2199"
"DC1365","DC2445"
"DC1366","DC1623"
"DC1366","DC2101"
"DC1367","DC1725"
"DC1368","DC1549"
"DC1374","DC2505"
"DC1375","DC2224"
"DC1376","DC2269"
"DC1377","DC1674"
"DC1379","DC1451"
"DC1381","DC2481"
"DC1381","DC2005"
"DC1381","DC2382"
"DC1390","DC1799"
"DC1390","DC2411"
"DC1390","DC2078"
"DC1391","DC2342"
"DC1392","DC1495"
"DC1393","DC1644"
"DC1393","DC2509"
"DC1394","DC1918"
"DC1395","DC1569"
"DC1395","DC1613"
"DC1400","DC1609"
"DC1401","DC1566"
"DC1401","DC1341"
"DC1402","DC1768"
"DC1402","DC2366"
"DC1403","DC1933"
"DC1406","DC2216"
"DC1406","DC2441"
"DC1407","DC1872"
"DC1410","DC1575"
"DC1411","DC2449"
"DC1412","DC1986"
"DC1413","DC1950"
"DC1414","DC2419"
"DC1416","DC1826"
"DC1419","DC1601"
"DC1421","DC1436"
"DC1421","DC2220"
"DC1421","DC2004"
"DC1422","DC2226"
"DC1423","DC1710"
"DC1423","DC2111"
"DC1424","DC1588"
"DC1424","DC2244"
"DC1425","DC1593"
"DC1425","DC2432"
"DC1428","DC1869"
"DC1429","DC1659"
"DC1429","DC1884"
"DC1430","DC1959"
"DC1433","DC1967"
"DC1434","DC1544"
"DC1435","DC1503"
"DC1437","DC1388"
"DC1437","DC2373"
"DC1437","DC2368"
"DC1438","DC1689"
"DC1439","DC1473"
"DC1440","DC2129"
"DC1441","DC1579"
"DC1442","DC0414"
"DC1443","DC1385"
"DC1444","DC1673"
"DC1444","DC1719"
"DC1444","DC1886"
"DC1444","DC2368"
"DC1445","DC2296"
"DC1445","DC0939"
"DC1446","DC2271"
"DC1449","DC2175"
"DC1452","DC2417"
"DC1452","DC1363"
"DC1456","DC1811"
"DC1456","DC1356"
"DC1457","DC2294"
"DC1458","DC2140"
"DC1459","DC1897"
"DC1461","DC1514"
"DC1461","DC2394"
"DC1461","DC2164"
"DC1464","DC1840"
"DC1465","DC1620"
"DC1465","DC2306"
"DC1465","DC2234"
"DC1465","DC2073"
"DC1466","DC1895"
"DC1467","DC1738"
"DC1467","DC2106"
"DC1467","DC1978"
"DC1468","DC1747"
"DC1468","DC1829"
"DC1468","DC1836"
"DC1478","DC1890"
"DC1479","DC1850"
"DC1480","DC1890"
"DC1482","DC1495"
"DC1483","DC2088"
"DC1485","DC1583"
"DC1486","DC2368"
"DC1488","DC2192"
"DC1488","DC2256"
"DC1491","DC2348"
"DC1492","DC1804"
"DC1495","DC1654"
"DC1496","DC1847"
"DC1496","DC2350"
"DC1497","DC1552"
"DC1498","DC2449"
"DC1498","DC2143"
"DC1499","DC2181"
"DC1500","DC2233"
"DC1501","DC2260"
"DC1501","DC1898"
"DC1503","DC2055"
"DC1504","DC2431"
"DC1505","DC2277"
"DC1506","DC1695"
"DC1506","DC2208"
"DC1507","DC1553"
"DC1507","DC1779"
"DC1508","DC1725"
"DC1508","DC2153"
"DC1513","DC2032"
"DC1515","DC1544"
"DC1517","DC2387"
"DC1518","DC2370"
"DC1519","DC2244"
"DC1520","DC1822"
"DC1521","DC0639"
"DC1523","DC1574"
"DC1523","DC2212"
"DC1525","DC0601"
"DC1525","DC1974"
"DC1528","DC1813"
"DC1529","DC1363"
"DC1530","DC2507"
"DC1531","DC2339"
"DC1531","DC2399"
"DC1532","DC1598"
"DC1534","DC1889"
"DC1535","DC2510"
"DC1537","DC1838"
"DC1539","DC2383"
"DC1542","DC2178"
"DC1543","DC2197"
"DC1545","DC1325"
"DC1546","DC2135"
"DC1547","DC2089"
"DC1549","DC1600"
"DC1550","DC1953"
"DC1550","DC2510"
"DC1552","DC1596"
"DC1552","DC0560"
"DC1555","DC2296"
"DC1555","DC2179"
"DC1557","DC1558"
"DC1558","DC0727"
"DC1559","DC2179"
"DC1560","DC1613"
"DC1561","DC2282"
"DC1561","DC2503"
"DC1562","DC1682"
"DC1562","DC2500"
"DC1563","DC0839"
"DC1564","DC1865"
"DC1565","DC2406"
"DC1573","DC1580"
"DC1574","DC2422"
"DC1576","DC1599"
"DC1578","DC1579"
"DC1578","DC2474"
"DC1583","DC0973"
"DC1585","DC2200"
"DC1586","DC1915"
"DC1587","DC1934"
"DC1589","DC1597"
"DC1590","DC0968"
"DC1592","DC1708"
"DC1592","DC1879"
"DC1595","DC1786"
"DC1595","DC2032"
"DC1596","DC2163"
"DC1601","DC2217"
"DC1601","DC2206"
"DC1602","DC2297"
"DC1602","DC2011"
"DC1602","DC1988"
"DC1603","DC0843"
"DC1606","DC2178"
"DC1609","DC2475"
"DC1610","DC1744"
"DC1610","DC1970"
"DC1611","DC1385"
"DC1612","DC1972"
"DC1615","DC0414"
"DC1615","DC1906"
"DC1616","DC2132"
"DC1617","DC1742"
"DC1619","DC1700"
"DC1621","DC1604"
"DC1624","DC2193"
"DC1631","DC2447"
"DC1632","DC2256"
"DC1635","DC2102"
"DC1638","DC1685"
"DC1639","DC2370"
"DC1640","DC1911"
"DC1641","DC2470"
"DC1642","DC2372"
"DC1643","DC2387"
"DC1644","DC2281"
"DC1645","DC2215"
"DC1646","DC1744"
"DC1647","DC1754"
"DC1647","DC2037"
"DC1652","DC1834"
"DC1656","DC2336"
"DC1658","DC1910"
"DC1660","DC2174"
"DC1661","DC2386"
"DC1664","DC2280"
"DC1665","DC1843"
"DC1671","DC2191"
"DC1672","DC1720"
"DC1674","DC1791"
"DC1677","DC2365"
"DC1678","DC1930"
"DC1678","DC1914"
"DC1681","DC2444"
"DC1681","DC2231"
"DC1684","DC2220"
"DC1690","DC2286"
"DC1691","DC2262"
"DC1692","DC2027"
"DC1694","DC2337"
"DC1695","DC1863"
"DC1700","DC1709"
"DC1706","DC2393"
"DC1708","DC2346"
"DC1712","DC2094"
"DC1714","DC0839"
"DC1715","DC1747"
"DC1715","DC1866"
"DC1716","DC2131"
"DC1717","DC0352"
"DC1718","DC2013"
"DC1719","DC2508"
"DC1721","DC1992"
"DC1722","DC2214"
"DC1726","DC1134"
"DC1727","DC2238"
"DC1731","DC1352"
"DC1733","DC0327"
"DC1734","DC2123"
"DC1735","DC1998"
"DC1736","DC2257"
"DC1737","DC1996"
"DC1738","DC1875"
"DC1738","DC2433"
"DC1741","DC1860"
"DC1741","DC2204"
"DC1741","DC2464"
"DC1743","DC2134"
"DC1743","DC2028"
"DC1745","DC1810"
"DC1746","DC2050"
"DC1749","DC2059"
"DC1750","DC2389"
"DC1750","DC2169"
"DC1751","DC1840"
"DC1752","DC2286"
"DC1752","DC2112"
"DC1753","DC1787"
"DC1754","DC1843"
"DC1754","DC0839"
"DC1758","DC2034"
"DC1760","DC1768"
"DC1762","DC2215"
"DC1764","DC1257"
"DC1765","DC0066"
"DC1766","DC2070"
"DC1767","DC1818"
"DC1768","DC1705"
"DC1771","DC2343"
"DC1772","DC1814"
"DC1773","DC2194"
"DC1774","DC2076"
"DC1775","DC2428"
"DC1775","DC2007"
"DC1776","DC2082"
"DC1777","DC1846"
"DC1778","DC2148"
"DC1778","DC2299"
"DC1779","DC0326"
"DC1781","DC2330"
"DC1782","DC1841"
"DC1782","DC2188"
"DC1782","DC1932"
"DC1783","DC2153"
"DC1785","DC2092"
"DC1789","DC2383"
"DC1790","DC2079"
"DC1791","DC2040"
"DC1793","DC1910"
"DC1794","DC2344"
"DC1797","DC1470"
"DC1798","DC2314"
"DC1803","DC2182"
"DC1806","DC2372"
"DC1814","DC2115"
"DC1817","DC1824"
"DC1819","DC2150"
"DC1819","DC2207"
"DC1821","DC2353"
"DC1822","DC2155"
"DC1822","DC1978"
"DC1825","DC2103"
"DC1828","DC1971"
"DC1830","DC2326"
"DC1830","DC2496"
"DC1832","DC1134"
"DC1833","DC1857"
"DC1833","DC2275"
"DC1833","DC2272"
"DC1833","DC2227"
"DC1834","DC1910"
"DC1837","DC2348"
"DC1838","DC1952"
"DC1841","DC2062"
"DC1841","DC2465"
"DC1844","DC2186"
"DC1844","DC2332"
"DC1844","DC1649"
"DC1845","DC2086"
"DC1846","DC2001"
"DC1849","DC0324"
"DC1853","DC1989"
"DC1855","DC1698"
"DC1859","DC2283"
"DC1859","DC2505"
"DC1862","DC1975"
